"Step","End_to_end_CNN_Dilated - epoch_train_loss","End_to_end_CNN_Dilated - epoch_train_loss__MIN","End_to_end_CNN_Dilated - epoch_train_loss__MAX","End_to_end_CNN_Dilated - epoch_val_loss","End_to_end_CNN_Dilated - epoch_val_loss__MIN","End_to_end_CNN_Dilated - epoch_val_loss__MAX","End_to_end_CNN_FineTuned - epoch_train_loss","End_to_end_CNN_FineTuned - epoch_train_loss__MIN","End_to_end_CNN_FineTuned - epoch_train_loss__MAX","End_to_end_CNN_FineTuned - epoch_val_loss","End_to_end_CNN_FineTuned - epoch_val_loss__MIN","End_to_end_CNN_FineTuned - epoch_val_loss__MAX"
"444","1.1998409032821655","1.1998409032821655","1.1998409032821655","0.9586024880409241","0.9586024880409241","0.9586024880409241","1.1995582580566406","1.1995582580566406","1.1995582580566406","0.9581962823867798","0.9581962823867798","0.9581962823867798"
"889","0.9084130525588989","0.9084130525588989","0.9084130525588989","0.951073944568634","0.951073944568634","0.951073944568634","0.9086321592330933","0.9086321592330933","0.9086321592330933","0.9511956572532654","0.9511956572532654","0.9511956572532654"
"1334","0.8936226963996887","0.8936226963996887","0.8936226963996887","0.9444628953933716","0.9444628953933716","0.9444628953933716","0.8940942883491516","0.8940942883491516","0.8940942883491516","0.9444321393966675","0.9444321393966675","0.9444321393966675"
"1779","0.887999415397644","0.887999415397644","0.887999415397644","0.9528312087059021","0.9528312087059021","0.9528312087059021","0.8887982368469238","0.8887982368469238","0.8887982368469238","0.9530560970306396","0.9530560970306396","0.9530560970306396"
"2224","0.8853893876075745","0.8853893876075745","0.8853893876075745","0.949703574180603","0.949703574180603","0.949703574180603","0.8865984678268433","0.8865984678268433","0.8865984678268433","0.9497502446174622","0.9497502446174622","0.9497502446174622"
"2669","0.8829765319824219","0.8829765319824219","0.8829765319824219","0.9425250291824341","0.9425250291824341","0.9425250291824341","0.8846656084060669","0.8846656084060669","0.8846656084060669","0.9427754878997803","0.9427754878997803","0.9427754878997803"
"3114","0.8802080154418945","0.8802080154418945","0.8802080154418945","0.9426159262657166","0.9426159262657166","0.9426159262657166","0.8825891613960266","0.8825891613960266","0.8825891613960266","0.9433568120002747","0.9433568120002747","0.9433568120002747"
"3559","0.8786418437957764","0.8786418437957764","0.8786418437957764","0.9419652819633484","0.9419652819633484","0.9419652819633484","0.8817941546440125","0.8817941546440125","0.8817941546440125","0.9431498050689697","0.9431498050689697","0.9431498050689697"
"4004","0.8775646090507507","0.8775646090507507","0.8775646090507507","0.9444450736045837","0.9444450736045837","0.9444450736045837","0.8811754584312439","0.8811754584312439","0.8811754584312439","0.9458364248275757","0.9458364248275757","0.9458364248275757"
"4449","0.8763947486877441","0.8763947486877441","0.8763947486877441","0.9461814761161804","0.9461814761161804","0.9461814761161804","0.8809868097305298","0.8809868097305298","0.8809868097305298","0.9469966888427734","0.9469966888427734","0.9469966888427734"
